acct_names,numbers
John,419343.98
John,996202.0852
John,485136.6768
John,562242.9426
John,322233.1873
John,645988.9137
John,326269.6089
John,505571.9349
John,640115.4851
John,10506.04018
John,48510.51117
John,928237.7237
John,149398.396
John,808232.0271
John,76515.90439
John,808575.2032
John,175817.8514
John,548403.3409
John,31172.97729
John,204980.4267
John,308363.8104
John,465937.2868
John,812033.253
John,2010.241617
John,127719.4954
John,252049.4175
John,201800.108
John,20401.35395
John,459861.3891
John,918919.5575
John,77316.05717
John,596925.2728
John,12936.18442
John,496208.1292
John,577961.6325
John,882693.7692
John,513679.2536
John,613678.6635
John,338815.6837
John,724982.019
John,925654.789
John,936879.6856
John,673502.3295
John,745178.222
John,472494.6278
John,19818.45149
John,758664.6238
John,91221.87528
John,446301.5769
John,833104.2393
John,47336.26079
John,206843.3266
John,12055.05733
John,801697.7981
John,628174.5888
John,847248.5573
John,314629.6768
John,693209.6393
John,653656.7346
John,96109.42658
John,276913.4904
John,960460.9818
John,452916.1339
John,507446.1333
John,973958.5528
John,873553.9597
John,722676.3638
John,129330.7345
John,663089.4162
John,201235.9244
Sarah,370071.2752
Sarah,82003.74059
Sarah,751126.4356
Sarah,525871.8054
Sarah,495127.7236
Sarah,541685.0767
Sarah,139546.9615
Sarah,893391.6967
Sarah,53943.68293
Sarah,774854.4374
Sarah,367702.6909
Sarah,601359.2861
Sarah,331152.5173
Sarah,864266.4168
Sarah,667300.5312
Sarah,692847.7867
Sarah,509995.3602
Sarah,309249.2039
Sarah,39633.62821
Sarah,136860.8153
Sarah,513378.8097
Sarah,637715.569
Sarah,576750.01
Sarah,911081.4736
Sarah,606076.2147
Sarah,236709.5491
Sarah,875199.2099
Sarah,522172.1698
Sarah,838185.7555
Sarah,692702.245
Sarah,302891.9126
Sarah,282567.2466
Sarah,76102.95829
Sarah,207136.4815
Sarah,854265.0638
Sarah,657542.9724
Sarah,155813.1219
Sarah,132040.4485
Sarah,663283.2615
Sarah,329238.0453
Sarah,245582.1123
Sarah,794080.043
Sarah,348036.4026
Sarah,261992.4147
Sarah,638645.6648
Sarah,628005.3279
Sarah,987425.8805
Sarah,851235.4877
Sarah,259678.8048
Sarah,263810.3524
Sarah,123849.4262
Sarah,498500.9949
Sarah,437180.0909
Sarah,721824.063
Sarah,494034.217
Sarah,626448.8269
Sarah,593140.9432
Sarah,816459.4583
Sarah,624751.7378
Sarah,516223.8567
Sarah,211016.6755
Sarah,722472.0619
Sarah,166947.5122
Sarah,463959.1295
Sarah,557191.2741
Sarah,387896.6004
Sarah,767747.1573
Sarah,669788.4451
Sarah,508730.9105
Sarah,240944.5446
Mike,3135.129111
Mike,562681.7495
Mike,980515.8884
Mike,296313.4581
Mike,812726.0427
Mike,35981.0167
Mike,966646.3186
Mike,346687.6994
Mike,755586.9021
Mike,495009.8516
Mike,999503.508
Mike,925258.1289
Mike,864776.7613
Mike,365043.5626
Mike,716137.2306
Mike,255633.6215
Mike,53778.35571
Mike,865255.4455
Mike,574631.5536
Mike,28228.68899
Mike,537348.554
Mike,309617.4721
Mike,961161.1476
Mike,289592.8451
Mike,732392.5423
Mike,592559.4352
Mike,350142.0235
Mike,606519.7769
Mike,727242.8107
Mike,164488.9403
Mike,238981.3843
Mike,641280.7496
Mike,552587.5476
Mike,608488.0552
Mike,838701.969
Mike,405452.0281
Mike,785792.8788
Mike,863550.4504
Mike,999823.5521
Mike,13112.27237
Mike,715048.5173
Mike,233883.3099
Mike,681832.3142
Mike,818064.9488
Mike,389183.0584
Mike,777272.2698
Mike,417393.9331
Mike,234305.0546
Mike,368625.8632
Mike,326105.7853
Mike,192908.0705
Mike,199120.3108
Mike,226707.3214
Mike,991636.4714
Mike,858170.1028
Mike,335096.0959
Mike,56153.67508
Mike,48826.08121
Mike,934554.6807
Mike,755926.6149
Mike,899078.4825
Mike,145499.3456
